state,year,sex,abs,deaths_per_100k
Pulau Pinang,2004,male,4362,607.5208914
Sabah,2004,female,2564,188.1282559
Sabah,2004,male,3764,255.9499524
Sarawak,2004,female,3979,364.677848
Sarawak,2004,male,5527,480.9014183
Selangor,2004,female,6050,264.5965449
Selangor,2004,male,8566,353.0478506
Terengganu,2004,female,2212,467.1594509
Terengganu,2004,male,3032,614.8854188
W.P. Kuala Lumpur,2004,female,2421,323.5333422
W.P. Kuala Lumpur,2004,male,3329,427.8370389
W.P. Labuan,2004,female,84,219.895288
W.P. Labuan,2004,male,128,308.4337349
Johor,2005,female,5958,406.467458
Johor,2005,male,8194,509.3870446
Kedah,2005,female,4510,497.0792461
Kedah,2005,male,5770,631.9824754
Kelantan,2005,female,3783,510.0444924
Kelantan,2005,male,5051,678.3507924
Melaka,2005,female,1847,504.5069653
Melaka,2005,male,2293,617.7262931
Negeri Sembilan,2005,female,2122,459.8049837
Negeri Sembilan,2005,male,3041,622.1358429
Pahang,2005,female,2564,387.4282261
Pahang,2005,male,3935,532.4763194
Perak,2005,female,6234,558.9527481
Perak,2005,male,8114,714.3863356
Perlis,2005,female,626,556.4444444
Perlis,2005,male,826,757.1035747
Pulau Pinang,2005,female,3487,477.7366763
Pulau Pinang,2005,male,4382,599.8631075
Sabah,2005,female,2620,188.2183908
Sabah,2005,male,3943,261.9933555
Sarawak,2005,female,4087,368.4305418
Sarawak,2005,male,5466,465.9449322
Selangor,2005,female,6507,276.9525431
Selangor,2005,male,8864,354.5458182
Terengganu,2005,female,2364,491.8851436
Terengganu,2005,male,3004,599.8402556
W.P. Kuala Lumpur,2005,female,2423,318.7319127
W.P. Kuala Lumpur,2005,male,3212,405.7604851
W.P. Labuan,2005,female,81,208.7628866
W.P. Labuan,2005,male,128,304.7619048
Johor,2006,female,5996,402.0113979
Johor,2006,male,8550,520.4212064
Kedah,2006,female,4621,502.6650712
Kedah,2006,male,6077,654.7080371
Kelantan,2006,female,3917,520.9469344
Kelantan,2006,male,5023,664.681752
Melaka,2006,female,1855,494.9306297
Melaka,2006,male,2291,602.5775907
Negeri Sembilan,2006,female,2162,460.9808102
Negeri Sembilan,2006,male,3042,610.8433735
Pahang,2006,female,2644,394.3914081
Pahang,2006,male,4026,536.2280234
Perak,2006,female,6313,559.4151529
Perak,2006,male,8116,705.1872448
Perlis,2006,female,639,560.5263158
Perlis,2006,male,823,744.7963801
Pulau Pinang,2006,female,3595,485.0242849
Pulau Pinang,2006,male,4323,581.8304172
Sabah,2006,female,2697,189.6091114
Sabah,2006,male,4005,259.9805258
Sarawak,2006,female,4383,388.59828
Sarawak,2006,male,5579,466.0818713
Selangor,2006,female,6466,268.0429466
Selangor,2006,male,9229,358.5748698
Terengganu,2006,female,2278,467.1862182
Terengganu,2006,male,3129,615.5813496
W.P. Kuala Lumpur,2006,female,2455,317.9228179
W.P. Kuala Lumpur,2006,male,3336,414.2555569
W.P. Labuan,2006,female,87,220.2531646
W.P. Labuan,2006,male,121,284.7058824
Johor,2007,female,6180,407.4635722
Johor,2007,male,8985,535.8420802
Kedah,2007,female,4687,503.4371643
Kedah,2007,male,6160,653.1650938
Kelantan,2007,female,3975,521.5850938
Kelantan,2007,male,5211,679.4002608
Melaka,2007,female,1795,468.0573664
Melaka,2007,male,2350,603.8026721
Negeri Sembilan,2007,female,2131,447.3131822
Negeri Sembilan,2007,male,3050,601.4592782
Pahang,2007,female,2693,396.7295227
Pahang,2007,male,4049,530.9467611
Perak,2007,female,6477,567.6102007
Perak,2007,male,8436,723.933751
Perlis,2007,female,680,589.254766
Perlis,2007,male,811,725.4025045
Pulau Pinang,2007,female,3622,481.3289037
Pulau Pinang,2007,male,4694,621.4749106
Sabah,2007,female,2837,195.0498453
Sabah,2007,male,4142,262.5174293
Sarawak,2007,female,4378,382.0577712
Sarawak,2007,male,5642,462.3832159
Selangor,2007,female,6602,266.4783047
Selangor,2007,male,9301,351.0473674
Terengganu,2007,female,2328,470.5882353
Terengganu,2007,male,3235,627.3026954
W.P. Kuala Lumpur,2007,female,2598,331.2085671
W.P. Kuala Lumpur,2007,male,3417,417.2670656
W.P. Labuan,2007,female,81,201.9950125
W.P. Labuan,2007,male,123,285.3828306
Johor,2008,female,6581,426.8387599
Johor,2008,male,9345,546.331482
Kedah,2008,female,4750,504.0322581
Kedah,2008,male,6321,659.9498852
Kelantan,2008,female,4102,531.3471503
Kelantan,2008,male,5592,718.9508871
Melaka,2008,female,1891,482.0290594
Melaka,2008,male,2490,625.3139126
Negeri Sembilan,2008,female,2385,492.9723026
Negeri Sembilan,2008,male,3355,650.3198294
Pahang,2008,female,2754,400.7566938
Pahang,2008,male,4346,561.2086777
Perak,2008,female,6619,574.2170556
Perak,2008,male,8776,744.422767
Perlis,2008,female,680,581.1965812
Perlis,2008,male,938,828.6219081
Pulau Pinang,2008,female,3769,493.4537837
Pulau Pinang,2008,male,4702,612.6384365
Sabah,2008,female,2948,198.0650363
Sabah,2008,male,4446,275.0046391
Sarawak,2008,female,4539,389.7810219
Sarawak,2008,male,5939,477.4499558
Selangor,2008,female,7379,290.1234568
Selangor,2008,male,10270,376.8807339
Terengganu,2008,female,2491,496.3140068
Terengganu,2008,male,3283,627.3648003
W.P. Kuala Lumpur,2008,female,2691,337.8531073
W.P. Kuala Lumpur,2008,male,3473,417.2272946
W.P. Labuan,2008,female,87,212.7139364
W.P. Labuan,2008,male,156,356.979405
Johor,2009,female,6587,420.6257982
Johor,2009,male,9384,538.2585752
Kedah,2009,female,4986,523.0252806
Kedah,2009,male,6632,682.3045267
Kelantan,2009,female,4393,562.0522006
Kelantan,2009,male,5721,725.554851
Melaka,2009,female,1923,479.5511222
Melaka,2009,male,2549,626.5978368
Negeri Sembilan,2009,female,2413,491.7464846
Negeri Sembilan,2009,male,3419,652.2319725
Pahang,2009,female,2926,420.7650273
Pahang,2009,male,4502,572.6278301
Perak,2009,female,6782,582.7461763
Perak,2009,male,8959,751.7200873
Perlis,2009,female,680,574.3243243
Perlis,2009,male,900,786.0262009
Pulau Pinang,2009,female,3800,490.5124564
Pulau Pinang,2009,male,4899,628.3991791
Sabah,2009,female,3009,197.4539012
Sabah,2009,male,4556,274.9049659
Sarawak,2009,female,4889,413.0618452
Sarawak,2009,male,6351,501.1837121
Selangor,2009,female,7736,296.0468409
