state,year,sex,abs,deaths_per_100k
Perlis,2021,male,1244,866.2952646
Pulau Pinang,2021,female,6197,730.2616074
Pulau Pinang,2021,male,7781,872.8965672
Sabah,2021,female,8082,494.8870247
Sabah,2021,male,10791,606.4062939
Sarawak,2021,female,7387,619.7147651
Sarawak,2021,male,10209,801.5860553
Selangor,2021,female,17520,530.1540231
Selangor,2021,male,24531,661.212938
Terengganu,2021,female,3824,669.1163605
Terengganu,2021,male,4645,775.3296612
W.P. Kuala Lumpur,2021,female,5645,614.3883326
W.P. Kuala Lumpur,2021,male,7689,735.6486797
W.P. Labuan,2021,female,217,465.6652361
W.P. Labuan,2021,male,300,607.2874494
W.P. Putrajaya,2021,female,112,191.4529915
W.P. Putrajaya,2021,male,154,271.6049383
Johor,2022,female,10687,565.4497354
Johor,2022,male,14618,683.6591526
Kedah,2022,female,7836,737.9225916
Kedah,2022,male,9792,889.211769
Kelantan,2022,female,6034,661.622807
Kelantan,2022,male,7411,806.8590093
Melaka,2022,female,2961,617.1321384
Melaka,2022,male,3669,693.8350983
Negeri Sembilan,2022,female,3677,631.0279732
Negeri Sembilan,2022,male,4959,793.3130699
Pahang,2022,female,4506,591.9600631
Pahang,2022,male,6516,763.8921454
Perak,2022,female,9700,801.7191503
Perak,2022,male,12641,968.9560018
Perlis,2022,female,1074,739.6694215
Perlis,2022,male,1348,932.2268326
Pulau Pinang,2022,female,5582,656.783151
Pulau Pinang,2022,male,7338,823.5690236
Sabah,2022,female,7311,446.9099578
Sabah,2022,male,10084,566.8034399
Sarawak,2022,female,7061,589.6943377
Sarawak,2022,male,9566,749.6277721
Selangor,2022,female,13838,416.0553217
Selangor,2022,male,19023,510.7805494
Terengganu,2022,female,3924,677.1354616
Terengganu,2022,male,4762,784.3847801
W.P. Kuala Lumpur,2022,female,4256,462.4578942
W.P. Kuala Lumpur,2022,male,5706,548.2321291
W.P. Labuan,2022,female,174,370.212766
W.P. Labuan,2022,male,218,437.751004
W.P. Putrajaya,2022,female,114,191.9191919
W.P. Putrajaya,2022,male,139,241.3194444
Johor,2023,female,10505,548.6212659
Johor,2023,male,14200,647.692027
Kedah,2023,female,7342,684.1222512
Kedah,2023,male,9301,833.3482663
Kelantan,2023,female,5325,575.1782242
Kelantan,2023,male,6514,697.4304069
Melaka,2023,female,2734,562.0888158
Melaka,2023,male,3456,637.7560436
Negeri Sembilan,2023,female,3508,595.0805768
Negeri Sembilan,2023,male,4724,743.4686811
Pahang,2023,female,4426,574.5813319
Pahang,2023,male,6082,696.7579333
Perak,2023,female,9104,747.5162164
Perak,2023,male,11735,886.731147
Perlis,2023,female,992,675.2893125
Perlis,2023,male,1179,806.4295486
Pulau Pinang,2023,female,5453,630.9881972
Pulau Pinang,2023,male,6851,754.1831792
Sabah,2023,female,6930,402.9304029
Sabah,2023,male,9680,515.744046
Sarawak,2023,female,6947,573.9424983
Sarawak,2023,male,9211,712.9256966
Selangor,2023,female,13617,402.98905
Selangor,2023,male,19029,496.7499413
Terengganu,2023,female,3416,579.4741306
Terengganu,2023,male,4441,715.5978086
W.P. Kuala Lumpur,2023,female,4115,440.7669237
W.P. Kuala Lumpur,2023,male,5531,515.9033672
W.P. Labuan,2023,female,139,288.3817427
W.P. Labuan,2023,male,194,381.8897638
W.P. Putrajaya,2023,female,119,197.6744186
W.P. Putrajaya,2023,male,165,281.5699659
